Depth (DAS),interval velocity,interval traveltime,fb,trace#,Depth,P wave first break ms,"P wave first break, s","Vertical travel time, s","Average velocity, m/s","Inverval velocity (11 m interval), m/s",,,,,offset (m)
239.935,1794.81069103311,0.000568862223242212,0.133121330186772,236,235,158.399993896484,0.158399993896484,0.129636618089777,1812.75941522368,2024.39834162968,,,,,
240.956,1771.62048053839,0.000576308532903014,0.133697638719675,237,236,159.5,0.1595,0.130719514113614,1805.39226756062,2061.61517168355,,,,,
241.977,2041.09912297486,0.000500220684290873,0.134197859403966,238,237,160.199996948242,0.160199996948242,0.131475080934444,1802.62296334446,2065.92369994249,,,,,
242.998,2191.2716882539,0.000465939484123757,0.13466379888809,239,238,160.5,0.1605,0.131901963764484,1804.37040668294,1876.50211237215,,,,,
244.019,2045.53332282414,0.000499136332127973,0.135162935220218,240,239,160.699996948242,0.160699996948242,0.132245689017884,1807.24227591026,1794.81069103311,,,,,
245.04,1949.20153724472,0.000523804224699742,0.135686739444918,241,240,161,0.161,0.132670749796098,1808.98955021251,1771.62048053839,,,,,
246.061,1890.29211269102,0.000540128159634805,0.136226867604553,242,241,161.300003051758,0.161300003051758,0.133094965807217,1810.73715702424,2041.09912297486,,,,,
247.082,1923.13625050378,0.000530903621484206,0.136757771226037,243,242,161.399993896484,0.161399993896484,0.133353088086246,1814.73112826218,2191.2716882539,,,,,
248.103,1926.43137323143,0.000529995521349584,0.137287766747386,244,243,162.300003051758,0.162300003051758,0.134271807293314,1809.76189192993,2045.53332282414,,,,,
249.124,2133.20335704024,0.000478622910764882,0.137766389658151,245,244,163,0.163,0.135025301667707,1807.06872701885,1949.20153724472,,,,,
250.145,2134.68215464505,0.000478291345518723,0.13824468100367,246,245,163.100006103516,0.163100006103516,0.135281167873352,1811.04291049117,1890.29211269102,,,,,
251.166,1930.9037745516,0.000528767934195536,0.138773448937866,247,246,163.300003051758,0.163300003051758,0.135618835213426,1813.90733531124,1923.13625050378,,,,,
252.187,1933.76916259673,0.000527984425312147,0.139301433363178,248,247,163.600006103516,0.163600006103516,0.136038641014011,1815.6605958344,1926.43137323143,,,,,
253.208,1968.3161277345,0.000518717489337026,0.139820150852515,249,248,164.300003051758,0.164300003051758,0.136790664372985,1812.98922069551,2133.20335704024,,,,,
254.229,2002.58385183825,0.000509841322780453,0.140329992175295,250,249,164.800003051758,0.164800003051758,0.137375994842563,1812.54374379863,2134.68215464505,,,,,
255.25,2004.49725963364,0.000509354649946802,0.140839346825242,251,250,165.300003051758,0.165300003051758,0.137960937451679,1812.10714146939,1930.9037745516,,,,,
256.271,2152.25181557503,0.000474386868958069,0.1413137336942,252,251,165.5,0.1655,0.138294805390804,1814.96332628478,1933.76916259673,,,,,
257.292,1975.91382553789,0.000516722939433897,0.141830456633634,253,252,165.600006103516,0.165600006103516,0.138544033447163,1818.91629491288,1968.3161277345,,,,,
258.313,1915.06429091916,0.00053314137015733,0.142363598003791,254,253,165.899993896484,0.165899993896484,0.138959592903156,1820.67315191633,2002.58385183825,,,,,
259.334,1949.00737689558,0.000523856406139562,0.142887454409931,255,254,166.600006103516,0.166600006103516,0.139709839821662,1818.0537628862,2004.49725963364,,,,,
260.355,2164.75100210568,0.0004716477779693,0.1433591021879,256,255,167.300003051758,0.167300003051758,0.14046008985372,1815.46231577643,2152.25181557503,,,,,
261.376,2206.77246779166,0.000462666638677861,0.143821768826578,257,256,167.5,0.1675,0.14079008325762,1818.30988430888,1975.91382553789,,,,,
262.397,2020.77549182943,0.000505251575015734,0.144327020401594,258,257,167.699996948242,0.167699996948242,0.141119125728379,1821.15640720921,1915.06429091916,,,,,
263.418,1989.50504624706,0.000513192968233984,0.144840213369828,259,258,168.300003051758,0.168300003051758,0.141784213077985,1819.66662154477,1949.00737689558,,,,,
264.439,2175.28934732464,0.000469362846490134,0.145309576216318,260,259,168.800003051758,0.168800003051758,0.142364776918437,1819.27022685102,2164.75100210568,,,,,
